"ID","Name","BB_Percentage_MLB","BB_Percentage_MiLB","K_Percentage_MLB","K_Percentage_MiLB","BB_to_K_MLB","BB_to_K_MiLB","AVG_MLB","AVG_MiLB","OBP_MLB","OBP_MiLB","SLG_MLB","SLG_MiLB","OPS_MLB","OPS_MiLB","ISO_MLB","ISO_MiLB","Spd_MLB","Spd_MiLB","BABIP_MLB","BABIP_MiLB","wSB_MLB","wSB_MiLB","wRC_MLB","wRC_MiLB","wRAA_MLB","wRAA_MiLB","wOBA_MLB","wOBA_MiLB","wRCplus_MLB","wRCplus_MiLB"
"11615","Brandon Drury",0.057,0.113,0.22,0.259,0.26,0.65,0.249,0.391,0.296,0.479,0.415,0.604,0.711,0.761,0.166,0.153,2,4.2,0.294,0.46,-1.7,-0.6,184,60,-22.9,7.6,0.303,0.486,83,152
"11624","Jarrett Parker",0.093,0.211,0.32,0.476,0.29,0.75,0.249,0.433,0.33,0.608,0.441,0.761,0.771,0.817,0.192,0.193,4.3,9.2,0.344,0.583,-0.8,0.3,51,105,3.5,16.6,0.331,0.611,108,199
"1165","Chris Valaika",0.049,0.087,0.235,0.246,0.21,0.53,0.238,0.39,0.282,0.464,0.351,0.613,0.633,0.759,0.113,0.166,2.8,4.7,0.297,0.442,0,-0.8,22,58,-7,5,0.28,0.485,74,149
"11680","Elias Diaz",0.071,0.137,0.168,0.214,0.43,1.01,0.248,0.405,0.303,0.503,0.387,0.552,0.69,0.741,0.139,0.111,2,4.7,0.275,0.467,-1,-0.5,133,30,-20.8,-1.8,0.298,0.485,79,156
"11737","Nick Castellanos",0.066,0.12,0.23,0.276,0.29,0.65,0.278,0.442,0.329,0.523,0.486,0.636,0.814,0.824,0.207,0.13,3.5,5.4,0.331,0.529,-6.8,-0.6,635,78,106.6,14.4,0.345,0.527,115,183
"11738","Christian Villanueva",0.055,0.126,0.274,0.273,0.2,0.69,0.245,0.369,0.303,0.478,0.475,0.615,0.778,0.764,0.23,0.165,2.9,5.8,0.285,0.417,0.4,0.1,55,64,6,6.8,0.332,0.496,110,158
"11746","Stefen Romero",0.034,0.098,0.249,0.223,0.14,0.86,0.195,0.486,0.242,0.567,0.307,0.816,0.549,0.887,0.112,0.207,5.3,7.9,0.245,0.518,-1.7,-0.3,14,81,-11.8,22.4,0.245,0.611,56,219
"11761","Drew Robinson",0.119,0.213,0.403,0.409,0.29,0.87,0.202,0.373,0.296,0.538,0.359,0.649,0.655,0.851,0.157,0.187,2.7,8.6,0.321,0.477,-1,-0.4,24,69,-5.9,12.5,0.289,0.538,70,180
"11763","Kyle Parker",0.043,0.156,0.37,0.334,0.12,0.74,0.182,0.425,0.217,0.548,0.295,0.713,0.513,0.836,0.114,0.194,4.7,6.4,0.269,0.504,0.1,-0.8,6,107,-9.5,21,0.225,0.561,21,187
"11773","Jason Rogers",0.108,0.161,0.208,0.236,0.52,1,0.258,0.417,0.349,0.534,0.392,0.648,0.742,0.821,0.134,0.156,3.6,5.7,0.319,0.471,-0.1,0.4,27,63,2.6,15.1,0.329,0.535,106,188
"11776","Angel Sanchez",0,0.042,0,0.775,0,0.19,0,0.097,0,0.136,0,0.097,0,0.133,0,0,0.1,0.6,0,0.227,0,0,0,0,-0.3,-1.6,0,0.116,-100,-119
"11850","Tyler Austin",0.093,0.141,0.369,0.295,0.25,0.73,0.219,0.447,0.292,0.574,0.451,0.745,0.743,0.943,0.232,0.207,3.3,7.2,0.29,0.527,-0.3,1,68,41,-1.7,12.3,0.314,0.597,96,229
"11854","Steven Moya",0.06,0.077,0.376,0.428,0.16,0.27,0.25,0.35,0.293,0.411,0.452,0.634,0.745,0.725,0.202,0.192,3.8,6.1,0.371,0.442,-0.5,0.4,15,55,-0.1,3.8,0.316,0.471,97,149
"11863","Yadiel Rivera",0.085,0.068,0.304,0.301,0.28,0.36,0.175,0.36,0.244,0.419,0.217,0.509,0.461,0.65,0.042,0.106,4.5,7.8,0.258,0.444,0.4,-0.5,9,37,-28.8,-11.8,0.208,0.423,26,110
"11875","Ronny Rodriguez",0.046,0.06,0.248,0.297,0.19,0.32,0.221,0.418,0.254,0.466,0.396,0.694,0.65,0.749,0.176,0.181,4.3,8.7,0.254,0.477,0.4,-1,42,74,-19.1,1.6,0.272,0.513,66,164
"11894","Noel Cuevas",0.039,0.083,0.155,0.25,0.25,0.53,0.23,0.391,0.265,0.462,0.311,0.576,0.575,0.72,0.081,0.127,4.7,9.2,0.262,0.461,0.1,0.3,10,47,-8.2,-1.6,0.25,0.465,39,134
"11899","Joc Pederson",0.114,0.247,0.242,0.302,0.47,1.42,0.232,0.373,0.332,0.572,0.462,0.554,0.794,0.748,0.23,0.114,3.5,6.4,0.261,0.443,-6.5,1.1,413,67,55.8,20.8,0.339,0.53,114,181
"11902","Hanser Alberto",0.024,0.054,0.117,0.13,0.2,0.63,0.276,0.44,0.298,0.484,0.383,0.614,0.681,0.77,0.106,0.117,4.3,7.2,0.301,0.463,-0.9,0.4,124,40,-27,0.7,0.292,0.498,78,158
"11905","Orlando Calixte",0.052,0.115,0.276,0.299,0.19,0.59,0.135,0.36,0.175,0.447,0.154,0.539,0.329,0.688,0.019,0.124,5.5,7.9,0.184,0.441,0.2,0.3,-1,43,-8.3,-5.4,0.15,0.452,-12,132
"1191","Chris Johnson",0.048,0.069,0.251,0.289,0.19,0.4,0.275,0.403,0.313,0.454,0.404,0.632,0.717,0.726,0.129,0.154,3.1,4.7,0.353,0.472,-0.4,-0.2,329,39,-6.1,1.9,0.312,0.478,96,129
"11935","Travis Taijeron",0.085,0.181,0.407,0.44,0.21,0.64,0.173,0.403,0.271,0.56,0.269,0.772,0.54,0.869,0.096,0.24,0.5,5.9,0.296,0.522,0,-0.7,4,87,-3.6,22.6,0.248,0.592,52,208
"11936","Joe Panik",0.083,0.156,0.101,0.231,0.82,1.25,0.264,0.363,0.328,0.49,0.372,0.478,0.7,0.588,0.108,0.071,3.9,5.2,0.282,0.402,-0.5,-0.2,338,57,-29.9,-2.4,0.306,0.453,92,102
"11982","Travis Shaw",0.103,0.204,0.241,0.245,0.43,1.23,0.239,0.435,0.322,0.591,0.441,0.729,0.762,0.865,0.202,0.188,3.1,5.1,0.278,0.482,0.9,0.2,337,60,17.2,15.4,0.326,0.591,100,209
"11997","Cody Asche",0.07,0.207,0.245,0.345,0.29,0.97,0.234,0.467,0.293,0.609,0.376,0.986,0.668,1.098,0.141,0.383,2.9,5.8,0.294,0.49,-1.4,0.2,127,31,-24.2,7.3,0.292,0.676,82,270
"12005","Nick Martini",0.123,0.173,0.216,0.214,0.57,1.28,0.27,0.434,0.369,0.571,0.369,0.61,0.738,0.754,0.099,0.112,3.9,7.1,0.349,0.496,-0.7,-0.8,43,69,2.4,6.6,0.326,0.543,107,179
